risk_id,collection_id,workstream,risk_type,risk_description,probability,impact,severity,risk_score,owner,status,mitigation_status,date_identified,target_resolution_date,collection_name,brand_id,brand_name,market,season,launch_date,launch_channel,is_open_critical,is_open
RSK0108,COL017,retail_readiness,compliance issue,Labeling or sustainability document may need review,4,4,Critical,16,Retail Operations,Monitoring,Overdue,2026-12-21,2027-01-22,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,True,True
RSK0109,COL018,retail_readiness,customs issue,Customs hold risk linked to incomplete documents,2,3,Medium,6,Sourcing Lead,Closed,Not Started,2026-09-01,2026-10-04,Stradivarius Denim Summer 25,BR005,Stradivarius,Spain,Summer 25,2026-11-18,Omnichannel,False,False
RSK0110,COL002,ecommerce,marketing delay,Campaign assets may miss launch handover,4,4,Critical,16,PMO,Monitoring,Completed,2026-07-06,2026-08-16,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,True,True
RSK0111,COL018,retail_readiness,supplier capacity,Supplier capacity issue may compress production window,3,4,High,12,Quality Manager,Open,In Progress,2026-09-30,2026-11-02,Stradivarius Denim Summer 25,BR005,Stradivarius,Spain,Summer 25,2026-11-18,Omnichannel,False,True
RSK0112,COL006,launch_governance,data/content issue,Product data may need manual cleanup before publishing,4,5,Critical,20,Production Planner,Monitoring,Completed,2026-12-16,2026-12-27,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,True,True
RSK0113,COL011,ecommerce,customs issue,Customs hold risk linked to incomplete documents,4,2,Medium,8,Production Planner,Escalated,In Progress,2026-09-08,2026-09-23,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,True
RSK0114,COL016,launch_governance,supplier capacity,Supplier capacity issue may compress production window,1,2,Low,2,Quality Manager,Closed,In Progress,2026-07-19,2026-08-24,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,False
RSK0115,COL025,ecommerce,compliance issue,Labeling or sustainability document may need review,2,3,Medium,6,Marketing Manager,Mitigating,Completed,2026-11-15,2026-12-07,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,True
RSK0116,COL030,warehouse_allocation,quality failure,Inspection failure could require rework before shipment,4,3,High,12,Quality Manager,Open,Completed,2026-08-25,2026-09-11,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,True
RSK0117,COL003,design,compliance issue,Labeling or sustainability document may need review,3,4,High,12,Quality Manager,Closed,In Progress,2026-09-23,2026-11-06,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,False,False
RSK0118,COL007,marketing,quality failure,Inspection failure could require rework before shipment,4,3,High,12,Merchandising,Mitigating,Completed,2026-11-04,2026-12-14,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,False,True
RSK0119,COL026,ecommerce,data/content issue,Product data may need manual cleanup before publishing,2,5,High,10,Quality Manager,Open,Completed,2026-07-12,2026-07-26,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,True
RSK0120,COL015,launch_governance,quality failure,Inspection failure could require rework before shipment,3,4,High,12,E-commerce Producer,Monitoring,In Progress,2026-09-07,2026-10-10,Pull&Bear Denim Drop SS25,BR002,Pull&Bear,United Kingdom,SS25,2026-11-25,Retail,False,True
RSK0121,COL030,warehouse_allocation,packaging delay,Packaging approval may miss production handoff,3,4,High,12,Marketing Manager,Mitigating,Completed,2026-09-19,2026-10-16,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,True
RSK0122,COL025,marketing,packaging delay,Packaging approval may miss production handoff,4,2,Medium,8,Merchandising,Open,Completed,2027-01-05,2027-02-01,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,True
RSK0123,COL030,marketing,marketing delay,Campaign assets may miss launch handover,3,4,High,12,Production Planner,Open,In Progress,2026-10-03,2026-10-23,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,True
RSK0124,COL025,retail_readiness,customs issue,Customs hold risk linked to incomplete documents,2,4,Medium,8,Logistics Lead,Open,In Progress,2027-01-09,2027-02-13,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,True
RSK0125,COL013,production,marketing delay,Campaign assets may miss launch handover,1,4,Low,4,Quality Manager,Mitigating,Completed,2026-11-02,2026-11-30,Stradivarius Denim SS25,BR005,Stradivarius,United States,SS25,2027-02-02,Omnichannel,False,True
RSK0126,COL008,ecommerce,production backlog,Factory backlog may push final inspection,2,3,Medium,6,Marketing Manager,Open,Overdue,2026-07-24,2026-08-22,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,False,True
RSK0127,COL007,sourcing,production backlog,Factory backlog may push final inspection,3,3,Medium,9,Production Planner,Monitoring,In Progress,2026-11-06,2026-11-29,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,False,True
RSK0128,COL027,retail_readiness,compliance issue,Labeling or sustainability document may need review,3,3,Medium,9,Retail Operations,Open,Not Started,2027-02-26,2027-04-09,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,True
RSK0129,COL019,retail_readiness,data/content issue,Product data may need manual cleanup before publishing,4,5,Critical,20,Sourcing Lead,Monitoring,Not Started,2026-11-17,2026-11-27,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,True,True
RSK0130,COL005,warehouse_allocation,stock allocation,Allocation dispute may reduce launch coverage,4,4,Critical,16,Logistics Lead,Monitoring,In Progress,2026-05-01,2026-05-30,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,True,True
RSK0131,COL012,marketing,stock allocation,Allocation dispute may reduce launch coverage,1,4,Low,4,Compliance Lead,Monitoring,Completed,2026-09-09,2026-10-12,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,True
RSK0132,COL001,sourcing,marketing delay,Campaign assets may miss launch handover,3,2,Medium,6,Marketing Manager,Monitoring,Not Started,2026-06-14,2026-07-16,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,True
RSK0133,COL004,inbound_logistics,marketing delay,Campaign assets may miss launch handover,1,2,Low,2,E-commerce Producer,Open,Completed,2026-08-28,2026-09-28,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,True
RSK0134,COL023,production,data/content issue,Product data may need manual cleanup before publishing,2,3,Medium,6,Logistics Lead,Closed,In Progress,2027-01-08,2027-02-14,Massimo Dutti Knitwear SS25,BR003,Massimo Dutti,Portugal,SS25,2027-02-16,Omnichannel,False,False
RSK0135,COL019,sourcing,ecommerce readiness,Missing product content may block digital go-live,1,3,Low,3,Retail Operations,Open,Overdue,2026-12-25,2027-02-02,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,True
RSK0136,COL009,retail_readiness,production backlog,Factory backlog may push final inspection,3,4,High,12,E-commerce Producer,Mitigating,Not Started,2026-11-16,2026-11-26,Massimo Dutti Knitwear AW25,BR003,Massimo Dutti,Italy,AW25,2027-01-27,Retail,False,True
RSK0137,COL016,design,quality failure,Inspection failure could require rework before shipment,4,4,Critical,16,Production Planner,Open,Not Started,2026-05-08,2026-06-16,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,True,True
RSK0138,COL016,retail_readiness,packaging delay,Packaging approval may miss production handoff,4,3,High,12,E-commerce Producer,Mitigating,In Progress,2026-07-17,2026-08-18,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,True
RSK0139,COL029,sourcing,packaging delay,Packaging approval may miss production handoff,1,5,Medium,5,E-commerce Producer,Monitoring,In Progress,2026-07-12,2026-08-09,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,True
RSK0140,COL027,marketing,stock allocation,Allocation dispute may reduce launch coverage,3,4,High,12,Retail Operations,Monitoring,In Progress,2026-12-08,2027-01-17,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,True
RSK0141,COL012,quality_control,compliance issue,Labeling or sustainability document may need review,1,4,Low,4,Quality Manager,Open,Completed,2026-08-27,2026-09-25,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,True
RSK0142,COL025,design,packaging delay,Packaging approval may miss production handoff,4,5,Critical,20,Sourcing Lead,Open,In Progress,2027-01-14,2027-02-27,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,True,True
RSK0143,COL009,warehouse_allocation,stock allocation,Allocation dispute may reduce launch coverage,1,3,Low,3,PMO,Monitoring,Completed,2026-12-17,2027-01-04,Massimo Dutti Knitwear AW25,BR003,Massimo Dutti,Italy,AW25,2027-01-27,Retail,False,True
RSK0144,COL026,warehouse_allocation,data/content issue,Product data may need manual cleanup before publishing,4,4,Critical,16,Retail Operations,Mitigating,Not Started,2026-05-21,2026-06-05,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,True,True
RSK0145,COL023,ecommerce,marketing delay,Campaign assets may miss launch handover,2,2,Low,4,E-commerce Producer,Mitigating,In Progress,2026-12-06,2026-12-28,Massimo Dutti Knitwear SS25,BR003,Massimo Dutti,Portugal,SS25,2027-02-16,Omnichannel,False,True
RSK0146,COL004,design,logistics delay,Transport disruption may delay inbound arrival,2,3,Medium,6,E-commerce Producer,Mitigating,In Progress,2026-06-16,2026-07-11,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,True
RSK0147,COL030,quality_control,supplier capacity,Supplier capacity issue may compress production window,1,4,Low,4,Merchandising,Open,In Progress,2026-11-02,2026-11-12,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,True
RSK0148,COL015,production,quality failure,Inspection failure could require rework before shipment,2,4,Medium,8,PMO,Monitoring,Completed,2026-10-16,2026-11-22,Pull&Bear Denim Drop SS25,BR002,Pull&Bear,United Kingdom,SS25,2026-11-25,Retail,False,True
RSK0149,COL008,design,stock allocation,Allocation dispute may reduce launch coverage,4,3,High,12,Retail Operations,Closed,Overdue,2026-07-19,2026-08-16,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,False,False
RSK0150,COL019,quality_control,compliance issue,Labeling or sustainability document may need review,1,4,Low,4,Merchandising,Mitigating,In Progress,2027-01-06,2027-01-21,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,True
RSK0151,COL007,quality_control,quality failure,Inspection failure could require rework before shipment,3,5,High,15,Marketing Manager,Monitoring,Not Started,2026-09-12,2026-10-15,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,False,True
RSK0152,COL029,inbound_logistics,ecommerce readiness,Missing product content may block digital go-live,2,5,High,10,Marketing Manager,Mitigating,Overdue,2026-06-02,2026-06-15,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,True
RSK0153,COL005,quality_control,marketing delay,Campaign assets may miss launch handover,4,4,Critical,16,Retail Operations,Mitigating,Overdue,2026-06-28,2026-07-28,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,True,True
RSK0154,COL022,sourcing,customs issue,Customs hold risk linked to incomplete documents,4,3,High,12,E-commerce Producer,Open,Not Started,2026-11-25,2026-12-24,Massimo Dutti Limited Edition Holiday 25,BR003,Massimo Dutti,Poland,Holiday 25,2026-12-20,E-commerce,False,True
RSK0155,COL011,retail_readiness,quality failure,Inspection failure could require rework before shipment,2,4,Medium,8,Quality Manager,Mitigating,Completed,2026-07-03,2026-08-09,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,True
RSK0156,COL010,ecommerce,data/content issue,Product data may need manual cleanup before publishing,3,2,Medium,6,E-commerce Producer,Open,Not Started,2026-06-18,2026-07-02,Zara Home Bed Linen Summer 25,BR007,Zara Home,Germany,Summer 25,2026-07-23,Marketplace,False,True
RSK0157,COL019,launch_governance,ecommerce readiness,Missing product content may block digital go-live,4,4,Critical,16,Logistics Lead,Closed,Not Started,2026-12-02,2027-01-15,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,False
RSK0158,COL006,retail_readiness,compliance issue,Labeling or sustainability document may need review,4,5,Critical,20,Retail Operations,Open,Overdue,2026-12-11,2026-12-26,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,True,True
RSK0159,COL015,inbound_logistics,logistics delay,Transport disruption may delay inbound arrival,1,3,Low,3,Production Planner,Open,Overdue,2026-11-03,2026-11-17,Pull&Bear Denim Drop SS25,BR002,Pull&Bear,United Kingdom,SS25,2026-11-25,Retail,False,True
RSK0160,COL002,production,ecommerce readiness,Missing product content may block digital go-live,4,5,Critical,20,Retail Operations,Monitoring,In Progress,2026-09-25,2026-10-12,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,True,True
RSK0161,COL010,launch_governance,packaging delay,Packaging approval may miss production handoff,1,4,Low,4,Retail Operations,Monitoring,In Progress,2026-04-13,2026-05-11,Zara Home Bed Linen Summer 25,BR007,Zara Home,Germany,Summer 25,2026-07-23,Marketplace,False,True
RSK0162,COL006,warehouse_allocation,stock allocation,Allocation dispute may reduce launch coverage,1,3,Low,3,Retail Operations,Escalated,Completed,2026-11-07,2026-12-02,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,True
RSK0163,COL007,design,packaging delay,Packaging approval may miss production handoff,1,2,Low,2,Compliance Lead,Escalated,Completed,2026-10-07,2026-10-21,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,False,True
RSK0164,COL006,inbound_logistics,quality failure,Inspection failure could require rework before shipment,4,4,Critical,16,Production Planner,Monitoring,In Progress,2026-09-23,2026-10-08,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,True,True
RSK0165,COL012,production,data/content issue,Product data may need manual cleanup before publishing,4,3,High,12,PMO,Open,Overdue,2026-08-30,2026-09-19,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,True
RSK0166,COL016,sourcing,supplier capacity,Supplier capacity issue may compress production window,1,2,Low,2,Sourcing Lead,Escalated,Completed,2026-08-11,2026-09-18,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,True
RSK0167,COL019,retail_readiness,compliance issue,Labeling or sustainability document may need review,2,2,Low,4,PMO,Open,In Progress,2027-02-01,2027-02-17,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,True
RSK0168,COL027,retail_readiness,compliance issue,Labeling or sustainability document may need review,1,2,Low,2,E-commerce Producer,Open,In Progress,2026-12-28,2027-01-24,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,True
RSK0169,COL004,sourcing,supplier capacity,Supplier capacity issue may compress production window,3,2,Medium,6,PMO,Escalated,Overdue,2026-09-03,2026-10-04,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,True
RSK0170,COL024,warehouse_allocation,compliance issue,Labeling or sustainability document may need review,2,2,Low,4,PMO,Open,In Progress,2026-09-27,2026-10-29,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,True
RSK0171,COL024,retail_readiness,packaging delay,Packaging approval may miss production handoff,1,5,Medium,5,Retail Operations,Closed,Overdue,2026-09-05,2026-09-30,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,False
RSK0172,COL006,ecommerce,supplier capacity,Supplier capacity issue may compress production window,1,3,Low,3,Marketing Manager,Monitoring,In Progress,2026-09-17,2026-09-29,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,True
RSK0173,COL013,marketing,logistics delay,Transport disruption may delay inbound arrival,4,3,High,12,Logistics Lead,Open,Overdue,2027-01-08,2027-01-31,Stradivarius Denim SS25,BR005,Stradivarius,United States,SS25,2027-02-02,Omnichannel,False,True
RSK0174,COL017,quality_control,marketing delay,Campaign assets may miss launch handover,1,2,Low,2,Sourcing Lead,Monitoring,Not Started,2027-01-18,2027-02-21,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,True
RSK0175,COL002,design,logistics delay,Transport disruption may delay inbound arrival,2,3,Medium,6,Compliance Lead,Open,In Progress,2026-07-06,2026-08-03,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,True
RSK0176,COL008,production,customs issue,Customs hold risk linked to incomplete documents,3,4,High,12,Production Planner,Open,Overdue,2026-07-29,2026-08-19,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,False,True
RSK0177,COL018,inbound_logistics,compliance issue,Labeling or sustainability document may need review,1,3,Low,3,Marketing Manager,Open,Not Started,2026-10-15,2026-10-31,Stradivarius Denim Summer 25,BR005,Stradivarius,Spain,Summer 25,2026-11-18,Omnichannel,False,True
RSK0178,COL004,ecommerce,marketing delay,Campaign assets may miss launch handover,3,4,High,12,Quality Manager,Monitoring,Overdue,2026-06-30,2026-08-06,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,True
RSK0179,COL003,marketing,packaging delay,Packaging approval may miss production handoff,3,4,High,12,Sourcing Lead,Monitoring,In Progress,2026-11-21,2026-12-13,Oysho Training Summer 25,BR006,Oysho,United States,Summer 25,2027-01-07,Omnichannel,False,True
RSK0180,COL008,design,logistics delay,Transport disruption may delay inbound arrival,1,3,Low,3,Production Planner,Closed,Completed,2026-07-06,2026-07-16,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,False,False
RSK0181,COL012,warehouse_allocation,supplier capacity,Supplier capacity issue may compress production window,3,3,Medium,9,Production Planner,Mitigating,In Progress,2026-10-29,2026-12-09,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,False,True
RSK0182,COL017,ecommerce,packaging delay,Packaging approval may miss production handoff,2,3,Medium,6,Marketing Manager,Monitoring,In Progress,2027-03-10,2027-04-23,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,True
RSK0183,COL016,launch_governance,packaging delay,Packaging approval may miss production handoff,2,3,Medium,6,E-commerce Producer,Monitoring,In Progress,2026-07-22,2026-08-25,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,True
RSK0184,COL001,warehouse_allocation,data/content issue,Product data may need manual cleanup before publishing,2,2,Low,4,Quality Manager,Mitigating,In Progress,2026-03-28,2026-05-05,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,True
RSK0185,COL007,production,supplier capacity,Supplier capacity issue may compress production window,3,4,High,12,Retail Operations,Escalated,Completed,2026-10-31,2026-12-01,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,False,True
RSK0186,COL002,inbound_logistics,logistics delay,Transport disruption may delay inbound arrival,1,3,Low,3,Retail Operations,Monitoring,Completed,2026-08-19,2026-08-30,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,True
RSK0187,COL014,launch_governance,stock allocation,Allocation dispute may reduce launch coverage,1,3,Low,3,PMO,Escalated,In Progress,2026-07-16,2026-08-12,Pull&Bear Denim Drop AW25,BR002,Pull&Bear,Italy,AW25,2026-11-09,Omnichannel,False,True
RSK0188,COL024,ecommerce,marketing delay,Campaign assets may miss launch handover,1,2,Low,2,Quality Manager,Monitoring,Not Started,2026-07-08,2026-07-31,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,True
RSK0189,COL002,marketing,quality failure,Inspection failure could require rework before shipment,4,2,Medium,8,Quality Manager,Escalated,In Progress,2026-08-24,2026-09-16,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,True
RSK0190,COL021,ecommerce,customs issue,Customs hold risk linked to incomplete documents,1,4,Low,4,Quality Manager,Monitoring,In Progress,2026-09-03,2026-09-19,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,True
