risk_id,collection_id,workstream,risk_type,risk_description,probability,impact,severity,risk_score,owner,status,mitigation_status,date_identified,target_resolution_date
RSK0179,COL003,marketing,packaging delay,Packaging approval may miss production handoff,3,4,High,12.0,Sourcing Lead,Monitoring,In Progress,2026-11-21,2026-12-13
RSK0180,COL008,design,logistics delay,Transport disruption may delay inbound arrival,1,3,Low,3.0,Production Planner,Closed,Completed,2026-07-06,2026-07-16
RSK0181,COL012,warehouse_allocation,supplier capacity,Supplier capacity issue may compress production window,3,3,Medium,9.0,Production Planner,Mitigating,In Progress,2026-10-29,2026-12-09
RSK0182,COL017,ecommerce,packaging delay,Packaging approval may miss production handoff,2,3,Medium,6.0,Marketing Manager,Monitoring,In Progress,2027-03-10,2027-04-23
RSK0183,COL016,launch_governance,packaging delay,Packaging approval may miss production handoff,2,3,Medium,6.0,E-commerce Producer,Monitoring,In Progress,2026-07-22,2026-08-25
RSK0184,COL001,warehouse_allocation,data/content issue,Product data may need manual cleanup before publishing,2,2,Low,4.0,Quality Manager,Mitigating,In Progress,2026-03-28,2026-05-05
RSK0185,COL007,production,supplier capacity,Supplier capacity issue may compress production window,3,4,High,12.0,Retail Operations,Escalated,Completed,2026-10-31,2026-12-01
RSK0186,COL002,inbound_logistics,logistics delay,Transport disruption may delay inbound arrival,1,3,Low,3.0,Retail Operations,Monitoring,Completed,2026-08-19,2026-08-30
RSK0187,COL014,launch_governance,stock allocation,Allocation dispute may reduce launch coverage,1,3,Low,3.0,PMO,Escalated,In Progress,2026-07-16,2026-08-12
RSK0188,COL024,ecommerce,marketing delay,Campaign assets may miss launch handover,1,2,Low,2.0,Quality Manager,Monitoring,Not Started,2026-07-08,2026-07-31
RSK0189,COL002,marketing,quality failure,Inspection failure could require rework before shipment,4,2,Medium,8.0,Quality Manager,Escalated,In Progress,2026-08-24,2026-09-16
RSK0190,COL021,ecommerce,customs issue,Customs hold risk linked to incomplete documents,1,4,Low,4.0,Quality Manager,Monitoring,In Progress,2026-09-03,2026-09-19
